index,text,label,polarity,confidence
"1","Dịch vụ rất tuyệt! Nhân viên thân thiện và mình sẽ quay lại nữa.","Negative","-0.3","0.65"
"2","Dịch vụ rất tuyệt! Nhân viên thân thiện và mình sẽ quay lại nữa.","Negative","-0.3","0.65"
"3","Với cấu trúc như này thì phải làm sao đạt được độ chính xác cao nhất có thể","Positive","0.6","0.86"
"4","tôi đang rất bực, đừng làm tôi buồn!","Positive","0.6","0.86"
"5","Dịch vụ rất tuyệt! Nhân viên thân thiện và mình sẽ quay lại nữa.","Negative","-0.3","0.65"
"6","Với cấu trúc như này thì phải làm sao đạt được độ chính xác cao nhất có thể","Positive","0.6","0.86"
"7","tôi đang rất bực, đừng làm tôi buồn!","Positive","0.6","0.86"
"8","Dịch vụ rất tuyệt! Nhân viên thân thiện và mình sẽ quay lại nữa.","Negative","-0.3","0.65"
"9","Với cấu trúc như này thì phải làm sao đạt được độ chính xác cao nhất có thể","Positive","0.6","0.86"
"10","tôi đang rất bực, đừng làm tôi buồn!","Positive","0.6","0.86"
"11","Dịch vụ rất tuyệt! Nhân viên thân thiện và mình sẽ quay lại nữa.","Negative","-0.3","0.65"
"12","Với cấu trúc như này thì phải làm sao đạt được độ chính xác cao nhất có thể","Positive","0.6","0.86"
"13","tôi đang rất bực, đừng làm tôi buồn!","Positive","0.6","0.86"
"14","Dịch vụ rất tuyệt! Nhân viên thân thiện và mình sẽ quay lại nữa.","Negative","-0.3","0.65"
"15","Với cấu trúc như này thì phải làm sao đạt được độ chính xác cao nhất có thể","Positive","0.6","0.86"
"16","tôi đang rất bực, đừng làm tôi buồn!","Positive","0.6","0.86"
"17","Dịch vụ rất tuyệt! Nhân viên thân thiện và mình sẽ quay lại nữa.","Negative","-0.3","0.65"
"18","Với cấu trúc như này thì phải làm sao đạt được độ chính xác cao nhất có thể","Positive","0.6","0.86"
"19","tôi đang rất bực, đừng làm tôi buồn!","Positive","0.6","0.86"